,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
113,44,38,0.537,17.0,99.4,97.7,1.77,1997,Washington Bullets
114,26,56,0.317,35.0,97.2,101.8,-3.89,1997,New Jersey Nets
115,22,60,0.268,39.0,100.2,106.7,-5.89,1997,Philadelphia 76ers
116,15,67,0.183,46.0,100.6,107.9,-6.62,1997,Boston Celtics
117,69,13,0.841,—,103.1,92.3,10.7,1997,Chicago Bulls
118,56,26,0.683,13.0,94.8,89.4,5.52,1997,Atlanta Hawks
119,54,28,0.659,15.0,94.2,88.9,5.45,1997,Detroit Pistons
120,54,28,0.659,15.0,98.9,97.0,2.13,1997,Charlotte Hornets
121,42,40,0.512,27.0,87.5,85.6,2.32,1997,Cleveland Cavaliers
122,39,43,0.476,30.0,95.4,94.4,1.49,1997,Indiana Pacers
123,33,49,0.402,36.0,95.3,97.2,-1.38,1997,Milwaukee Bucks
124,30,52,0.366,39.0,95.5,98.6,-2.56,1997,Toronto Raptors
125,64,18,0.78,—,103.1,94.3,7.97,1997,Utah Jazz
126,57,25,0.695,7.0,100.6,96.1,3.85,1997,Houston Rockets
127,40,42,0.488,24.0,96.1,97.6,-1.82,1997,Minnesota Timberwolves
128,24,58,0.293,40.0,90.6,97.0,-6.47,1997,Dallas Mavericks
129,21,61,0.256,43.0,97.8,104.1,-6.4,1997,Denver Nuggets
130,20,62,0.244,44.0,90.5,98.3,-7.93,1997,San Antonio Spurs
131,14,68,0.171,50.0,89.2,99.4,-10.17,1997,Vancouver Grizzlies
132,57,25,0.695,—,100.9,93.2,6.91,1997,Seattle SuperSonics
133,56,26,0.683,1.0,100.0,95.7,3.66,1997,Los Angeles Lakers
134,49,33,0.598,8.0,99.0,94.8,3.56,1997,Portland Trail Blazers
135,40,42,0.488,17.0,102.8,102.2,0.21,1997,Phoenix Suns
136,36,46,0.439,21.0,97.2,99.5,-2.66,1997,Los Angeles Clippers
137,34,48,0.415,23.0,96.4,99.8,-3.64,1997,Sacramento Kings
138,30,52,0.366,27.0,99.6,104.4,-4.9,1997,Golden State Warriors
139,55,27,0.671,—,95.0,90.0,5.09,1998,Miami Heat
140,43,39,0.524,12.0,91.6,89.1,2.74,1998,New York Knicks
141,43,39,0.524,12.0,99.6,98.1,1.88,1998,New Jersey Nets
142,42,40,0.512,13.0,97.2,96.6,1.11,1998,Washington Wizards
143,41,41,0.5,14.0,90.1,91.2,-0.53,1998,Orlando Magic
144,36,46,0.439,19.0,95.9,98.5,-1.96,1998,Boston Celtics
145,31,51,0.378,24.0,93.3,95.7,-1.89,1998,Philadelphia 76ers
146,62,20,0.756,—,96.7,89.6,7.24,1998,Chicago Bulls
147,58,24,0.707,4.0,96.0,89.9,6.25,1998,Indiana Pacers
148,51,31,0.622,11.0,96.6,94.6,2.45,1998,Charlotte Hornets
149,50,32,0.61,12.0,95.9,92.3,3.85,1998,Atlanta Hawks
150,47,35,0.573,15.0,92.5,89.8,3.06,1998,Cleveland Cavaliers
151,37,45,0.451,25.0,94.2,92.6,1.95,1998,Detroit Pistons
152,36,46,0.439,26.0,94.5,96.4,-1.33,1998,Milwaukee Bucks
153,16,66,0.195,46.0,94.9,104.2,-8.33,1998,Toronto Raptors
154,62,20,0.756,—,101.0,94.4,5.73,1998,Utah Jazz
155,56,26,0.683,6.0,92.5,88.5,3.3,1998,San Antonio Spurs
156,45,37,0.549,17.0,101.1,100.4,0.17,1998,Minnesota Timberwolves
157,41,41,0.5,21.0,98.8,99.5,-1.23,1998,Houston Rockets
158,20,62,0.244,42.0,91.4,97.5,-6.33,1998,Dallas Mavericks
